EnsemblGeneID	EntrezGeneID
ENSGALG00000028748	426220
ENSGALG00000005149	768548
ENSGALG00000026389	100859181
ENSGALG00000018770	425455
ENSGALG00000018770	770774
ENSGALG00000018770	100859307
ENSGALG00000028384	100859251
ENSGALG00000028948	
ENSGALG00000017674	
ENSGALG00000025711	396233
ENSGALG00000025711	427887
ENSGALG00000025711	100859629
ENSGALG00000028014	
ENSGALG00000029162	374014
ENSGALG00000000238	420049
ENSGALG00000000307	420050
ENSGALG00000022202	
ENSGALG00000000327	395079
ENSGALG00000000337	420051
ENSGALG00000000352	420053
ENSGALG00000000377	420054
ENSGALG00000000406	428318
ENSGALG00000000346	100859497
ENSGALG00000018772	417303
ENSGALG00000000353	417304
ENSGALG00000021710	768455
ENSGALG00000027187	427787
ENSGALG00000000368	417305
ENSGALG00000014171	425455
ENSGALG00000014171	770774
ENSGALG00000014171	100859307
ENSGALG00000021211	
ENSGALG00000000407	428319
ENSGALG00000021212	
ENSGALG00000024040	417300
ENSGALG00000000408	420055
ENSGALG00000000430	420056
ENSGALG00000009151	
ENSGALG00000000779	768487
ENSGALG00000000458	428320
ENSGALG00000028937	100859352
ENSGALG00000009123	427783
ENSGALG00000000470	396222
ENSGALG00000009105	417297
ENSGALG00000000474	373936
ENSGALG00000000490	768942
ENSGALG00000027065	100857539
ENSGALG00000009120	
ENSGALG00000027290	
ENSGALG00000009079	417296
ENSGALG00000026760	425644
ENSGALG00000000558	420057
ENSGALG00000027888	100857186
ENSGALG00000026288	100857231
ENSGALG00000009090	417295
ENSGALG00000027323	417306
ENSGALG00000024425	769455
ENSGALG00000024425	100857879
ENSGALG00000025791	100857416
ENSGALG00000028102	768566
ENSGALG00000009060	
ENSGALG00000009058	395797
ENSGALG00000026748	417309
ENSGALG00000009054	417294
ENSGALG00000000577	420058
ENSGALG00000028134	374069
ENSGALG00000026027	417293
ENSGALG00000001226	426955
ENSGALG00000028896	427788
ENSGALG00000026541	
ENSGALG00000027742	
ENSGALG00000021692	420060
ENSGALG00000021693	
ENSGALG00000000589	420061
ENSGALG00000000599	420062
ENSGALG00000000613	420063
ENSGALG00000000619	769087
ENSGALG00000000621	
ENSGALG00000026574	427781
ENSGALG00000009039	770620
ENSGALG00000024398	768930
ENSGALG00000024011	396393
ENSGALG00000000629	420065
ENSGALG00000009019	
ENSGALG00000021688	
ENSGALG00000028529	374110
ENSGALG00000024004	770691
ENSGALG00000026161	100859639
ENSGALG00000028044	395622
ENSGALG00000026844	
ENSGALG00000000722	428322
ENSGALG00000008966	417289
ENSGALG00000009014	417287
ENSGALG00000009008	417286
ENSGALG00000008995	
ENSGALG00000024395	
ENSGALG00000000726	395637
ENSGALG00000021242	770750
ENSGALG00000000736	769076
ENSGALG00000028823	
ENSGALG00000008984	
ENSGALG00000008973	770795
ENSGALG00000013431	
ENSGALG00000027961	429451
ENSGALG00000008959	417283
ENSGALG00000008952	
ENSGALG00000027611	100859867
ENSGALG00000027177	417310
ENSGALG00000000740	420069
ENSGALG00000008932	374095
ENSGALG00000008936	417281
ENSGALG00000021274	
ENSGALG00000000748	420070
ENSGALG00000000784	420072
ENSGALG00000028612	427789
ENSGALG00000008920	417280
ENSGALG00000013382	426060
ENSGALG00000028751	417311
ENSGALG00000001001	417312
ENSGALG00000024391	420073
ENSGALG00000008899	
ENSGALG00000008898	404296
ENSGALG00000001021	427790
ENSGALG00000001036	417313
ENSGALG00000008891	427775
ENSGALG00000026090	
ENSGALG00000001111	417314
ENSGALG00000027241	100857635
ENSGALG00000023638	
ENSGALG00000001150	768703
ENSGALG00000028029	100857667
ENSGALG00000029014	100857238
ENSGALG00000029014	100857284
ENSGALG00000029014	100857783
ENSGALG00000001156	
ENSGALG00000001163	417317
ENSGALG00000008886	
ENSGALG00000001183	396465
ENSGALG00000026167	100857314
ENSGALG00000023626	396389
ENSGALG00000001238	417321
ENSGALG00000027838	426515
ENSGALG00000021282	
ENSGALG00000021283	
ENSGALG00000008881	395110
ENSGALG00000001244	769242
ENSGALG00000001261	417322
ENSGALG00000017417	
ENSGALG00000001311	427797
ENSGALG00000001323	
ENSGALG00000008873	417275
ENSGALG00000008861	417272
ENSGALG00000001335	417324
ENSGALG00000008859	417271
ENSGALG00000021568	417325
ENSGALG00000001348	417326
ENSGALG00000026262	417327
ENSGALG00000023608	
ENSGALG00000023609	769421
ENSGALG00000023609	769490
ENSGALG00000008857	417270
ENSGALG00000001375	417329
ENSGALG00000001371	769490
ENSGALG00000000795	420074
ENSGALG00000001404	
ENSGALG00000028354	417332
ENSGALG00000001433	417333
ENSGALG00000001503	417334
ENSGALG00000002085	
ENSGALG00000026095	417269
ENSGALG00000008844	417268
ENSGALG00000001518	
ENSGALG00000001531	417335
