Protein	Beg	End	Reference
LOC425783	14609	16287	chr1
LOC430443	36039	30951	chr1
GOLGB1	41102	75573	chr1
HCLS1	77010	89017	chr1
OR9Q1	93661	91726	chr1
NME6	106258	102585	chr1
RABL2B	106329	110256	chr1
ACR	113704	111201	chr1
ARSA	120074	114468	chr1
LOC769176	123133	121854	chr1
LOC101748907	134616	143263	chr1
SHANK3	170483	370715	chr1
MIR1604	314579	314675	chr1
LOC101749001	410269	421435	chr1
LOC101750646	428533	428840	chr1
GCC1	429084	433969	chr1
FAM116B	455247	434912	chr1
PPP6R2	460368	532151	chr1
MIR1651	505088	505171	chr1
SBF1	592696	533376	chr1
LOC101751163	536061	534840	chr1
ADM2	595813	597104	chr1
LMF2	605873	601788	chr1
NCAPH2	608676	618191	chr1
SCO2	619171	618396	chr1
IRF5	621303	630454	chr1
TNPO3	653292	631247	chr1
SMO	657265	664571	chr1
AHCYL2	670685	709457	chr1
FAM40B	710169	725881	chr1
SMKR1	731001	734467	chr1
NRF1	757265	791420	chr1
UBE2H	849202	807160	chr1
ZC3HC1	859444	850460	chr1
KLHDC10	859818	872760	chr1
LOC100859230	881952	874622	chr1
LOC101748097	884473	882133	chr1
TMEM209	896318	884999	chr1
CPA2	902993	909381	chr1
CPA5	911097	915397	chr1
CPA1	916281	920045	chr1
CEP41	929838	921538	chr1
MEST	930252	935136	chr1
COPG2	954025	935036	chr1
IL15RA	965082	969658	chr1
FBXO18	992943	971411	chr1
ANKRD16	995796	1011804	chr1
GDI2	1012889	1027678	chr1
FAM208B	1061413	1014469	chr1
LOC101748845	1063088	1065866	chr1
ASB13	1068473	1076747	chr1
CALML3	1085162	1084713	chr1
NET1	1099472	1088060	chr1
LOC101748925	1113346	1124038	chr1
LOC101748880	1140002	1141133	chr1
TUBAL3	1149259	1155769	chr1
LOC416695	1163875	1158583	chr1
UCN3	1176317	1164149	chr1
LOC101751963	1202845	1177484	chr1
LOC101749361	1221547	1206226	chr1
LOC416696	1272309	1222511	chr1
MIR205B	1223819	1223722	chr1
SLC35B4	1291577	1306274	chr1
LRGUK	1361932	1313280	chr1
EXOC4	1821501	1371140	chr1
LOC101749816	1639489	1642434	chr1
LOC101752016	1827149	1832380	chr1
LOC101749970	1878759	1855468	chr1
CHCHD3	1907323	2096363	chr1
LOC101750196	1944844	1940289	chr1
LOC101750035	1972368	1967686	chr1
PLXNA4B	2199959	2647308	chr1
LOC101750753	2737116	2735451	chr1
LOC101752068	2747463	2744289	chr1
LOC100858744	2944465	2943213	chr1
LOC101750888	2947491	2948204	chr1
PODXL	2987394	3028096	chr1
MKLN1	3135419	3037529	chr1
LOC101750931	3135479	3153810	chr1
LOC418249	3293366	3304122	chr1
MIR29B-1	3328673	3328753	chr1
